ContributorGroup,ContributionAmount,ContributorName,Employer,Occupation,Date,Location
Corporate,1000.0,nan nan,,,2024-08-30,"MANALAPAN, NJ"
Corporate,1000.0,nan nan,,,2024-09-16,"BEACHWOOD, NJ"
Corporate,250.0,nan nan,,,2024-04-22,"JERSEY CITY, NJ"
Corporate,300.0,nan nan,,,2024-06-19,"CHEVERLY, MA"
Corporate,500.0,nan nan,,,2024-04-22,"NORWOOD, NJ"
Corporate,600.0,nan nan,,,2024-06-12,"CALDWELL, NJ"
Corporate,1000.0,nan nan,,,2024-04-03,"SOMERVILLE, NJ"
Corporate,1000.0,nan nan,,,2024-04-17,"NORTH BERGEN, NJ"
Corporate,1000.0,nan nan,,,2024-05-24,"UNION CITY, NJ"
Corporate,1000.0,nan nan,,,2024-05-23,"LONG BRANCH, NJ"
Corporate,1000.0,nan nan,,,2024-04-23,"SHREWBURY, NJ"
Corporate,1000.0,nan nan,,,2024-04-18,"WARREN, NJ"
Corporate,1000.0,nan nan,,,2024-05-13,"SOMERVILLE, NJ"
Corporate,1000.0,nan nan,,,2024-05-10,"EASTON, PA"
Corporate,1000.0,nan nan,,,2024-05-15,"LAMBERTVILLE, NJ"
Corporate,1000.0,nan nan,,,2024-05-12,"HOPEWELL, NJ"
Corporate,1000.0,nan nan,,,2024-06-12,"JERSEY CITY, NJ"
Corporate,1000.0,nan nan,,,2024-05-22,"JERSEY CITY, NJ"
Corporate,1000.0,nan nan,,,2024-06-12,"PATERSON, NJ"
Corporate,1000.0,nan nan,,,2024-06-07,"NEWARK, NJ"
Corporate,1000.0,nan nan,,,2024-06-17,"EDISON, NJ"
Corporate,1000.0,nan nan,,,2024-05-15,"CLIFFSIDE PARK, NJ"
Corporate,1000.0,nan nan,,,2024-05-24,"CLIFFSIDE PARK, NJ"
Corporate,300.0,nan nan,,,2024-09-30,"JERSEY CITY, NJ"
Corporate,500.0,nan nan,,,2024-09-05,"FORT LEE, NJ"
Corporate,500.0,nan nan,,,2024-08-07,"SOUTH AMBOY, NJ"
Corporate,500.0,nan nan,,,2024-09-30,"JERSEY CITY, NJ"
Corporate,500.0,nan nan,,,2024-09-25,"TOMS RIVER, NJ"
Corporate,2000.0,nan nan,,,2024-04-17,"WEST NEW YORK, NJ"
Corporate,1000.0,nan nan,,,2024-05-22,"JERSEY CITY, NJ"
Corporate,2500.0,nan nan,,,2024-04-15,"ROCKAWAY, NJ"
Corporate,2500.0,nan nan,,,2024-05-13,"LAMBERTVILLE, NJ"
Corporate,300.0,nan nan,,,2024-06-19,"JERSEY CITY, NJ"
Corporate,2700.0,nan nan,,,2024-04-04,"WOODBRIDGE, NJ"
Corporate,500.0,nan nan,,,2024-04-12,"TRENTON, NJ"
Corporate,3000.0,nan nan,,,2024-06-01,"GARFIELD, NJ"
Corporate,3000.0,nan nan,,,2024-06-12,"JERSEY CITY, NJ"
Corporate,1000.0,nan nan,,,2024-05-16,"SOUTH HACKENSACK, NJ"
Corporate,4900.0,nan nan,,,2024-06-12,"LONG ISLAND CITY, NY"
Corporate,5000.0,nan nan,,,2024-05-20,"MATAWAN, NJ"
Corporate,5000.0,nan nan,,,2024-05-23,"MATAWAN, NJ"
Corporate,5000.0,nan nan,,,2024-06-14,"MONROE TOWNSHIP, NJ"
Corporate,5200.0,nan nan,,,2024-05-07,"JERSEY CITY, NJ"
Corporate,5200.0,nan nan,,,2024-06-14,"VOORHEES, NJ"
Corporate,5200.0,nan nan,,,2024-04-06,"TORONTO, FC"
Corporate,3500.0,nan nan,,,2024-06-19,"JERSEY CITY, NJ"
Corporate,250.0,nan nan,,,2024-03-18,"JERSEY CITY, NJ"
Corporate,250.0,nan nan,,,2024-03-18,"JERSEY CITY, NJ"
Corporate,250.0,nan nan,,,2024-03-28,"MIDDLETOWN, NJ"
Corporate,250.0,nan nan,,,2024-03-30,"BROOKLYN, NY"
Corporate,350.0,nan nan,,,2024-03-28,"CALDWELL, NJ"
Corporate,360.0,nan nan,,,2024-01-23,"JERSEY CITY, NJ"
Corporate,400.0,nan nan,,,2024-01-23,"JERSEY CITY, NJ"
Corporate,500.0,nan nan,,,2024-01-23,"JERSEY CITY, NJ"
Corporate,500.0,nan nan,,,2024-01-30,"WAYNE, NJ"
Corporate,500.0,nan nan,,,2024-03-21,"JERSEY CITY, NJ"
Corporate,500.0,nan nan,,,2024-03-13,"NEW YORK, NY"
Corporate,500.0,nan nan,,,2024-03-09,"JERSEY CITY, NJ"
Corporate,500.0,nan nan,,,2024-03-12,"FAIRFIELD, NJ"
Corporate,700.0,nan nan,,,2024-03-28,"FAIRFIELD, NJ"
Corporate,1000.0,nan nan,,,2024-03-06,"JERSEY CITY, NJ"
Corporate,1000.0,nan nan,,,2024-03-18,"PATERSON, NJ"
Corporate,1000.0,nan nan,,,2024-03-15,"JERSEY CITY, NJ"
Corporate,1000.0,nan nan,,,2024-03-28,"SPRINGFIELD, NJ"
Corporate,1000.0,nan nan,,,2024-03-25,"TRENTON, NJ"
Corporate,1000.0,nan nan,,,2024-03-30,"CEDAR GROVE, NJ"
Corporate,1000.0,nan nan,,,2024-03-26,"COLTS NECK, NJ"
Corporate,1000.0,nan nan,,,2024-01-03,"SOMERVILLE, MA"
Corporate,1000.0,nan nan,,,2024-03-26,"CARTERAT, NJ"
Corporate,1000.0,nan nan,,,2024-03-25,"CARTERAT, NJ"
Corporate,1000.0,nan nan,,,2024-03-26,"PALM BEACH, FL"
Corporate,1000.0,nan nan,,,2024-03-26,"LIVINGSTON, NJ"
Corporate,1000.0,nan nan,,,2024-03-20,"MANALAPAN, NJ"
Corporate,1000.0,nan nan,,,2024-03-27,"JERSEY CITY, NJ"
Corporate,1500.0,nan nan,,,2024-01-23,"JERSEY CITY, NJ"
Corporate,500.0,nan nan,,,2024-03-01,"PHILADELPHIA, PA"
Corporate,1000.0,nan nan,,,2024-01-03,"PHILADELPHIA, PA"
Corporate,1000.0,nan nan,,,2024-02-08,"UNION CITY, NJ"
Corporate,1000.0,nan nan,,,2024-03-01,"CLIFFSIDE PARK, NJ"
Corporate,2000.0,nan nan,,,2024-03-28,"MOUNTAINSIDE, NJ"
Corporate,2000.0,nan nan,,,2024-03-25,"HOBOKEN, NJ"
Corporate,2000.0,nan nan,,,2024-03-21,"ROCKLEIGH, NJ"
Corporate,2000.0,nan nan,,,2024-01-16,"JERSEY CITY, NJ"
Corporate,250.0,nan nan,,,2024-03-21,"JERSEY CITY, NJ"
Corporate,2500.0,nan nan,,,2024-01-30,"JERSEY CITY, NJ"
Corporate,2500.0,nan nan,,,2024-01-22,"JERSEY CITY, NJ"
Corporate,2500.0,nan nan,,,2024-03-18,"NORTH ARLINGTON, NJ"
Corporate,2500.0,nan nan,,,2024-03-26,"CARTERET, NJ"
Corporate,2500.0,nan nan,,,2024-03-25,"TRENTON, NJ"
Corporate,1500.0,nan nan,,,2024-07-15,"BEDMINSTER, NJ"
Corporate,2500.0,nan nan,,,2024-03-31,"HILLSDALE, NJ"
Corporate,2500.0,nan nan,,,2024-03-31,"WOODBRIDGE, NJ"
Corporate,2500.0,nan nan,,,2024-03-31,"WOODBRIDGE, NJ"
